Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Product Type,Product Style,Lot Size,Lot Width,Lot Dimensions,Open Date,Sold Out Date,Total Units Planned,Total Units Sold,Total Units Remaining,Total QMIs,Sales Change Date,Sales Rate,Last 3M Avg. Sales,Last 6M Avg. Sales,Last 12M Avg. Sales,Min. Unit Size,Max. Unit Size,Avg. Unit Size,Min. List Price,Max. List Price,Avg. List Price,Price Change Date,QMI Incentive %age,QMI Incentive Amt.,QMI Incentive Type,To Be Built Incentive %age,To Be Built Incentive Amt.,To Be Built Incentive Type,Broker Incentive %age,Broker Incentive Amt.,Broker Incentive Type,HOA Fee 1,HOA Fee 2,HOA Fee per Sqft,Assessments,Assessments Description,Project Characteristics,Office Phone No.,Website,Master Plan Key,Subdivision Universal ID,Survey Quarter,Annual Starts,Annual Closings,Quarterly Starts,Quarterly Closings,Excavation Count,Survey Stakes Count,Street Paving Count,Streets In Count,Vacant Developed Lot Count,Vacant Land Count,Under Construction Count,Finished Vacant Count,Models Count,Occupied Count,Future Inventory Count,VDL Months of Supply,Inventory Months of Supply,Finished Vacant Months of Supply,Profile Available,Active Adult,Zip Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf2T000001MawrSAC,Heritage at Gum Ranch,Elliott Homes,,Active,,,Detached,Single-Family,7350,70,70x105,5/18/2019,,251,234,17,18,11/25/2025,2.96,3,1.67,3.58,2201,3660,2817,772950,972950,872116.67,11/25/2025,,,Other,,,No Incentives Confirmed,1,,Base Price,0,,,1.29,,,(916) 461-9140,https://www.elliotthomes.com/new-homes-in-fair-oaks-ca/the-heritage-at-gum-ranch,,6C5DF509-7EB8-446C-AD58-8747ED8DA7D5,2025Q3,44,44,15,15,0,0,0,0,1,0,30,1,5,214,0,0.3,9.8,0.3,TRUE,Non Active Adult,95628,Fair Oaks,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,San Juan Unified School District,Northridge Elementary School,5,Andrew Carnegie Middle School,6,Bella Vista High School,8,Carmichael / Fair Oaks,38.66956,-121.24863
aAf2T000001MqBQSA0,Residences at West Oaks,Brentwood Developments,,Active,,,Attached,Townhomes,,,,2/3/2022,,16,2,14,,7/11/2025,0.05,-0.33,0,0,1388,2171,1729,899000,1150000,791150,7/11/2025,,5000,Closing Cost w/ Preferred Lender,,5000,Closing Cost w/ Preferred Lender,2,,Base Price,266,,,1,"2,000.00 annual mella roos tax",Townhomes,(916) 621-6398,https://theresidencesatwestoaks.com/,,E58DAF94-3588-432C-9485-204C08A8462D,2025Q3,0,3,0,0,0,0,0,0,0,0,0,13,0,3,0,,52,52,TRUE,Non Active Adult,95765,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Ruhkala Elementary School,7,Spring View Middle School,6,Whitney High School,9,Rocklin,38.81019,-121.28575
aAf2T000001UR1ZSAW,Saratoga Estates/Manzanita,Elliott Homes,,Active,,,Detached,Single-Family,6490,55,55'x118',9/1/2020,,132,115,17,16,10/7/2025,1.86,2.67,2,2,2296,3367,2856,911950,1031950,973200,10/7/2025,,,Other,,,Other,2,,Base Price,99,,,1.05,Mello Roos 273.00 per month,,(916) 459-1700,https://www.elliotthomes.com/communities/california/sacramento/manzanita-at-saratoga,,26C99876-0EDE-485B-90A7-6149FA5D4F4A,2025Q3,1,35,0,9,0,0,0,0,0,0,0,8,0,124,0,0,2.7,2.7,TRUE,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Buckeye Union Elementary School District,William Brooks Elementary School,8,Oak Ridge High School; Rolling Hills Middle School,10; 8,Oak Ridge High School,10,El Dorado Hills,38.65075,-121.08057
aAf2T000001FiChSAK,Esplanade at Turkey Creek/Cottages,Taylor Morrison,,Active,,,Detached,Single-Family,3870,43,43x90,4/24/2021,,180,109,71,7,10/27/2025,1.99,3.67,3.33,2.5,1408,1651,1546,500999,584999,528141.86,11/8/2025,,,Other,,,Other,2,,Base Price,349,,,1.07,,Active Adult,(916) 890-0905,https://www.taylormorrison.com/ca/sacramento/lincoln/esplanade-at-turkey-creek,,E002BA62-8A6D-4DFE-84E4-190D1320862B,2025Q3,38,23,0,5,0,0,0,0,74,0,11,9,2,88,0,23.4,11.5,4.7,TRUE,Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.89153,-121.27753
aAf2T000001FiCuSAK,Turkey Creek Estates,Elliott Homes,,Active,,,Detached,Single-Family,10500,75,75x140,8/7/2021,,304,105,199,18,12/10/2025,1.99,1,0.83,0.92,2360,4137,3046,928950,1181950,1054750,12/11/2025,,,Other,,,No Incentives Confirmed,2,,Base Price,228,,,1.26,,,(916) 245-7980,https://www.elliotthomes.com/new-homes-in-lincoln-ca/turkey-creek-estates#welcome,,B1EF3393-8B8A-4C76-8755-E1853C7D599A,2025Q3,22,26,0,12,0,0,0,0,111,75,0,11,5,101,75,60.5,7.4,5.1,TRUE,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.88855,-121.25638
aAf3x000001Yb1UCAS,Granite Terrace,Keusder Homes Inc.,,Active,,,Detached,Single-Family,3000,50,50x60,8/1/2025,,41,2,39,4,10/16/2025,0.79,,,,,2232,1598,599950,679950,642450,10/16/2025,,15000,Closing Cost w/ Preferred Lender,,,Closing Cost w/ Preferred Lender,2,,Base Price,142.71,,,1.11,1.105 tax rate + 273.00 monthly mello roos,,(916) 354-6398,https://nextnewhomes.com/granite-terrace/,,63C9E421-4475-4568-8A1D-F5807A69E01D,2025Q3,0,0,0,0,0,0,0,0,29,0,0,10,1,1,0,,,,TRUE,Non Active Adult,95677,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Rocklin Elementary School,7,Spring View Middle School,6,Rocklin High School,9,Rocklin,38.79121,-121.2265
aAf3x000000UOmkCAG,Soleil,"Premier Homes, LLC",,Active,,,Attached,Townhomes,,,,9/17/2021,,52,45,7,3,11/11/2025,0.89,1,0.83,0.5,1719,3167,2565,849900,1124700,994866.67,11/11/2025,,25000,Closing Cost w/ Preferred Lender,,10000,Closing Cost w/ Preferred Lender,3,,Other,249,,,0.92,,Townhomes,(916) 270-1015 /  916.832,https://www.premierhomesca.com/premier-soleil/,,894DAC8A-1B43-4174-ADFB-D00047B3B916,2025Q3,6,6,0,2,0,0,0,0,6,0,3,0,1,42,0,12,8,0,TRUE,Non Active Adult,95746,Granite Bay,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Eureka Union School District,Greenhills Elementary School; Ridgeview Elementary School,9; 8,Willma Cavitt Junior High School,9,Granite Bay High School,10,Auburn / Granite Bay,38.74375,-121.16723
aAf3x000001YfDMCA0,Copper Ridge,KB Home,,Active,,,Detached,Single-Family,6000,60,60x100,12/5/2021,,148,147,1,2,12/1/2025,3.04,0.33,0.17,0.42,1608,2622,2035,598230,739990,667562.5,12/1/2025,,5000,Closing Cost w/ Preferred Lender,,,No Incentives Confirmed,2,,Base Price,0,,,1.08,,,(916) 621-8959,https://www.kbhome.com/new-homes-sacramento/copper-ridge,,5B0B1FF3-BDA7-41C9-9E54-9C7F57617E8E,2025Q3,1,36,0,1,0,0,0,0,0,0,0,2,0,146,0,0,0.7,0.7,TRUE,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.90219,-121.26887
aAf3x000001YiPDCA0,Revival,Tim Lewis Communities,,Active,,,Detached,Single-Family,2400,,,5/1/2022,,72,71,1,1,12/1/2025,1.63,0.33,1,1.17,1450,1908,1686,525469,653367,593365,12/1/2025,,,No Incentives Confirmed,,,No Incentives Confirmed,2,,Base Price,131.25,,,1,,,(916) 787-3490,https://www.timlewis.com/communities/revival/,,4C510BEA-18F2-4337-B6BD-2D3DE02BF20F,2025Q3,5,32,0,4,0,0,0,0,0,0,1,1,0,70,0,0,0.8,0.4,TRUE,Non Active Adult,95776,Woodland,Yolo,6113,"Sacramento-Roseville-Folsom, CA",40900,CA,Woodland Joint Unified School District,Spring Lake Elementary,8,Douglass Middle School,5,Pioneer High School,6,Davis / Woodland,38.64487,-121.74485
aAf3x000001YjwPCAS,Heritage Placer Vineyards/Molise,Lennar,,Active,,,Detached,Single-Family,6050,55,55x110,8/10/2021,,225,212,13,8,12/1/2025,4.05,5.33,6.67,6.58,1251,1784,1537,512990,577990,533865,12/1/2025,3.99,,Other,,5000,Closing Cost w/ Preferred Lender,,,Other,270,,,1.16,,Active Adult,(916) 580-6481,https://www.lennar.com/new-homes/california/sacramento/roseville/heritage-placer-vineyards/molise,,A706081B-817C-4C27-9EA3-A86131C51E86,2025Q3,31,60,0,5,37,0,0,0,3,0,0,9,2,174,37,1.2,2.2,1.8,TRUE,Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.74544,-121.36756
