Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001QQAECA4,Canyon at The Ranch,K. Hovnanian Homes,,Active,The Ranch,K. Hovnanian Homes,Fayetteville,3,3,2,2,2349,649990,10/13/2025,aAaPc000000T9MPKA0,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.5505,-121.22391
aAf3x000001QQAECA4,Canyon at The Ranch,K. Hovnanian Homes,,Active,The Ranch,K. Hovnanian Homes,Macon,4,3,2,3,2752,680990,10/13/2025,aAaPc000000T9MQKA0,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.5505,-121.22391
aAf3x000001QQAECA4,Canyon at The Ranch,K. Hovnanian Homes,,Active,The Ranch,K. Hovnanian Homes,Pasadena,4,3,1,2,2080,652990,10/13/2025,aAaPc000000T9MRKA0,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.5505,-121.22391
aAf3x000001QQAECA4,Canyon at The Ranch,K. Hovnanian Homes,,Active,The Ranch,K. Hovnanian Homes,Santa Rosa II,3,2.5,1,2,2095,659990,10/13/2025,aAaPc000000T9MTKA0,Non Active Adult,95742,Rancho Cordova,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Elk Grove Unified School District,Sunrise Elementary School,7,Katherine L. Albiani Middle School,8,Pleasant Grove High School,9,Rancho Cordova,38.5505,-121.22391
aAf3x000001WpHGCA0,FOUR40 West,BlackPine Communities,,Active,,,Plan 1,3,3,3,1,1456,584990,8/26/2025,aAaPc000000nOkLKAU,Non Active Adult,95818,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,William Land Elementary School,8,Miwok Middle,7,C. K. Mcclatchy High School,6,Pocket / Land Park,38.56598,-121.50571
aAf3x000001WpHGCA0,FOUR40 West,BlackPine Communities,,Active,,,Plan 2,3,3,3,2,1935,671990,8/26/2025,aAaPc000000nOlxKAE,Non Active Adult,95818,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,William Land Elementary School,8,Miwok Middle,7,C. K. Mcclatchy High School,6,Pocket / Land Park,38.56598,-121.50571
aAf3x000001WpHGCA0,FOUR40 West,BlackPine Communities,,Active,,,Plan 1E,3,3,3,1,1511,597990,8/26/2025,aAaPc000000nOnZKAU,Non Active Adult,95818,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,William Land Elementary School,8,Miwok Middle,7,C. K. Mcclatchy High School,6,Pocket / Land Park,38.56598,-121.50571
aAf3x000001WpHGCA0,FOUR40 West,BlackPine Communities,,Active,,,Plan 2E,3,3,3,2,1989,674990,8/26/2025,aAaPc000000nOpBKAU,Non Active Adult,95818,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Sacramento City Unified School District,William Land Elementary School,8,Miwok Middle,7,C. K. Mcclatchy High School,6,Pocket / Land Park,38.56598,-121.50571
aAf2T000001MawrSAC,Heritage at Gum Ranch,Elliott Homes,,Active,,,8459 Wattle Way,3,2,0,0,,851950,10/22/2025,aAaPc000000wg3zKAA,Non Active Adult,95628,Fair Oaks,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,San Juan Unified School District,Northridge Elementary School,5,Andrew Carnegie Middle School,6,Bella Vista High School,8,Carmichael / Fair Oaks,38.66956,-121.24863
aAfPc000001bYjnKAE,Allora At Amoruso Ranch,Brookfield Residential,,Active,Amoruso Ranch,Brookfield Residential,Residence 1,3,3,1,2,1840,594990,9/27/2025,aAaPc000000gFdlKAE,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Roseville City Elementary School District,,,George A. Buljan Middle School,4,West Park High,8,Roseville,38.8164,-121.3867
