Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Product Type,Product Style,Lot Size,Lot Width,Lot Dimensions,Open Date,Sold Out Date,Total Units Planned,Total Units Sold,Total Units Remaining,Total QMIs,Sales Change Date,Sales Rate,Last 3M Avg. Sales,Last 6M Avg. Sales,Last 12M Avg. Sales,Min. Unit Size,Max. Unit Size,Avg. Unit Size,Min. List Price,Max. List Price,Avg. List Price,Price Change Date,QMI Incentive %age,QMI Incentive Amt.,QMI Incentive Type,To Be Built Incentive %age,To Be Built Incentive Amt.,To Be Built Incentive Type,Broker Incentive %age,Broker Incentive Amt.,Broker Incentive Type,HOA Fee 1,HOA Fee 2,HOA Fee per Sqft,Assessments,Assessments Description,Project Characteristics,Office Phone No.,Website,Master Plan Key,Subdivision Universal ID,Survey Quarter,Annual Starts,Annual Closings,Quarterly Starts,Quarterly Closings,Excavation Count,Survey Stakes Count,Street Paving Count,Streets In Count,Vacant Developed Lot Count,Vacant Land Count,Under Construction Count,Finished Vacant Count,Models Count,Occupied Count,Future Inventory Count,VDL Months of Supply,Inventory Months of Supply,Finished Vacant Months of Supply,Profile Available,Active Adult,Zip Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf2T000001MawrSAC,Heritage at Gum Ranch,Elliott Homes,,Active,,,Detached,Single-Family,7350,70,70x105,5/18/2019,,251,234,17,17,10/21/2025,3,2.67,2.33,4.17,2201,3660,2817,772950,972950,872116.67,10/21/2025,,,Other,,,No Incentives Confirmed,1,,Base Price,0,,,1.29,,,(916) 461-9140,https://www.elliotthomes.com/new-homes-in-fair-oaks-ca/the-heritage-at-gum-ranch,,6C5DF509-7EB8-446C-AD58-8747ED8DA7D5,2025Q3,44,44,15,15,0,0,0,0,1,0,30,1,5,214,0,0.3,9.8,0.3,TRUE,Non Active Adult,95628,Fair Oaks,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,San Juan Unified School District,Northridge Elementary School,5,Andrew Carnegie Middle School,6,Bella Vista High School,8,Carmichael / Fair Oaks,38.66956,-121.24863
aAf2T000001MkvvSAC,Revere at Silver Springs,Blue Mountain Communities,,Active,,,Detached,Single-Family,11050,85,85x130,4/17/2021,,51,50,1,,10/10/2025,0.92,0,0,0.08,2744,3457,3063,939000,1099000,1017537.8,10/10/2025,,30000,Closing Cost w/ Preferred Lender,,5000,Closing Cost w/ Preferred Lender,2,,Final Price,0,,,1.5,,,,https://bluemountaincommunities.com/communities/revere-silver-springs/,,FBBF0339-1C2E-41C0-8867-16001B7E7C59,2025Q3,0,4,0,0,0,0,0,0,0,0,0,1,0,50,0,,3,3,TRUE,Non Active Adult,95672,Rescue,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Rescue Union Elementary School District,Green Valley Elementary School,7,Pleasant Grove Middle School,6,Ponderosa High School,9,Cameron Park,38.69648,-121.01853
aAf2T000001MqBQSA0,Residences at West Oaks,Brentwood Developments,,Active,,,Attached,Townhomes,,,,2/3/2022,,16,2,14,,7/11/2025,0.05,-0.33,0,0,1388,2171,1729,899000,1150000,791150,7/11/2025,,5000,Closing Cost w/ Preferred Lender,,5000,Closing Cost w/ Preferred Lender,2,,Base Price,266,,,1,"2,000.00 annual mella roos tax",Townhomes,(916) 621-6398,https://theresidencesatwestoaks.com/,,E58DAF94-3588-432C-9485-204C08A8462D,2025Q3,0,3,0,0,0,0,0,0,0,0,0,13,0,3,0,,52,52,TRUE,Non Active Adult,95765,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Ruhkala Elementary School,7,Spring View Middle School,6,Whitney High School,9,Rocklin,38.81019,-121.28575
aAf2T000001UR1ZSAW,Saratoga Estates/Manzanita,Elliott Homes,,Active,,,Detached,Single-Family,6490,55,55'x118',9/1/2020,,132,115,17,17,10/7/2025,1.86,2.67,2,2,2296,3367,2856,911950,1031950,973200,10/7/2025,,,Other,,,Other,2,,Base Price,99,,,1.05,Mello Roos 273.00 per month,,(916) 459-1700,https://www.elliotthomes.com/communities/california/sacramento/manzanita-at-saratoga,,26C99876-0EDE-485B-90A7-6149FA5D4F4A,2025Q3,1,35,0,9,0,0,0,0,0,0,0,8,0,124,0,0,2.7,2.7,TRUE,Non Active Adult,95762,El Dorado Hills,El Dorado,6017,"Sacramento-Roseville-Folsom, CA",40900,CA,Buckeye Union Elementary School District,William Brooks Elementary School,8,Oak Ridge High School; Rolling Hills Middle School,10; 8,Oak Ridge High School,10,El Dorado Hills,38.65075,-121.08057
aAf2T000001FiCuSAK,Turkey Creek Estates,Elliott Homes,,Active,,,Detached,Single-Family,10500,75,75x140,8/7/2021,,304,104,200,10,10/7/2025,2.06,2,1.5,1.08,2360,4137,3046,928950,1171950,1048750,10/7/2025,,75000,Other,,,No Incentives Confirmed,2,,Base Price,228,,,1.26,,,(916) 245-7980,https://www.elliotthomes.com/new-homes-in-lincoln-ca/turkey-creek-estates#welcome,,B1EF3393-8B8A-4C76-8755-E1853C7D599A,2025Q3,22,26,0,12,0,0,0,0,111,75,0,11,5,101,75,60.5,7.4,5.1,TRUE,Non Active Adult,95648,Lincoln,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Western Placer Unified School District,Carlin C. Coppin Elementary School,5,Glen Edwards Middle School,5,Lincoln High School,6,Lincoln,38.88855,-121.25638
aAf2T000000sh8eSAA,Sentinel VIllage at Sierra Vista,JMC Homes,,Active,Sierra Vista (CA),,Detached,Single-Family,5720,55,55x104,3/13/2020,,247,221,26,,9/23/2025,3.29,1.33,1.5,2,1754,2178,1961,669990,749990,706656.67,9/23/2025,4.99,,Other,,10000,Closing Cost w/ Preferred Lender,2,,Base Price,0,,,1.17,Mello Roos  $220.00 per month.,,(916) 724-4390,https://www.jmchomes.com/communities/sentinel-village-sierra-vista,3498,21222F1C-6E62-4738-B070-153166122A36,2025Q3,31,30,5,7,0,0,0,0,0,0,9,12,3,223,0,0,9.6,4.8,TRUE,Non Active Adult,95747,Roseville,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Center Joint Unified School District,,,Wilson C. Riles Middle School,5,Center High,7,Roseville,38.75922,-121.36419
aAf3x000001Yb1UCAS,Granite Terrace,Keusder Homes Inc.,,Active,,,Detached,Single-Family,3000,50,50x60,8/1/2025,,41,2,39,4,10/16/2025,0.79,,,,,2232,1598,599950,679950,642450,10/16/2025,,15000,Closing Cost w/ Preferred Lender,,,Closing Cost w/ Preferred Lender,2,,Base Price,142.71,,,1.11,1.105 tax rate + 273.00 monthly mello roos,,(916) 354-6398,https://nextnewhomes.com/granite-terrace/,,63C9E421-4475-4568-8A1D-F5807A69E01D,2025Q3,0,0,0,0,0,0,0,0,29,0,0,10,1,1,0,,,,TRUE,Non Active Adult,95677,Rocklin,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Rocklin Unified School District,Rocklin Elementary School,7,Spring View Middle School,6,Rocklin High School,9,Rocklin,38.79121,-121.2265
aAf3x000000UOmkCAG,Soleil,"Premier Homes, LLC",,Active,,,Attached,Townhomes,,,,9/17/2021,,52,44,8,4,9/22/2025,0.9,1,0.5,0.33,1719,3167,2565,849900,1124700,994866.67,9/22/2025,,25000,Closing Cost w/ Preferred Lender,,10000,Closing Cost w/ Preferred Lender,3,,Other,249,,,0.92,,Townhomes,(916) 270-1015 /  916.832,https://www.premierhomesca.com/premier-soleil/,,894DAC8A-1B43-4174-ADFB-D00047B3B916,2025Q3,6,6,0,2,0,0,0,0,6,0,3,0,1,42,0,12,8,0,TRUE,Non Active Adult,95746,Granite Bay,Placer,6061,"Sacramento-Roseville-Folsom, CA",40900,CA,Eureka Union School District,Greenhills Elementary School; Ridgeview Elementary School,9; 8,Willma Cavitt Junior High School,9,Granite Bay High School,10,Auburn / Granite Bay,38.74375,-121.16723
aAf3x000001QEyQCAW,Northlake/Watersyde,Lennar,,Active,Northlake,"Integral Communities, Lennar",Detached,Single-Family,5000,50,50x100,1/24/2021,,277,187,90,7,10/22/2025,3.25,3.67,5.33,4.67,2309,2966,2644,698063,850678,766045.6,10/22/2025,4.99,,Other,,27000,Closing Cost w/ Preferred Lender,,,Other,100,,,1.16,Mello Roos $256.00 per month.,,(916) 299-6002 / 916-462-,https://www.lennar.com/new-homes/california/sacramento/sacramento/watersyde-at-northlake,5492,F781ED6B-3C3E-4FFA-9CD4-D58984DD70FD,2025Q3,32,41,7,14,0,0,0,0,80,0,17,6,5,168,0,30,8.2,1.8,TRUE,Non Active Adult,95835,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Regency Park Elementary School,7,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,,,Natomas,38.67423,-121.54771
aAf3x000001QGOSCA4,Northlake/Shor,Lennar,,Active,Northlake,"Integral Communities, Lennar",Detached,Single-Family,2870,41,41x70,1/24/2021,,337,184,153,7,10/21/2025,3.2,3.67,1.83,2.58,1765,2190,1973,538990,653990,594418.57,10/21/2025,,,No Incentives Confirmed,,27000,Closing Cost w/ Preferred Lender,,,Other,100,,,1.16,Mello Roos $210.00 per month,,(916) 299-6002 / 916-462-,https://www.lennar.com/new-homes/california/sacramento/sacramento/shor-at-northlake,5492,49F54082-F895-4985-B96B-19447016E346,2025Q3,37,36,4,9,0,0,0,115,21,0,16,5,4,176,115,6.8,8.3,1.7,TRUE,Non Active Adult,95835,Sacramento,Sacramento,6067,"Sacramento-Roseville-Folsom, CA",40900,CA,Twin Rivers Unified School District,Regency Park Elementary School,7,Rio Linda Preparatory Academy; Norwood Junior High School,5; 5,,,Natomas,38.68306,-121.55019
